,Function Name,Parameters,Source,Line Number
23072,SpaceToFitDirectionalLayoutMixin:GetChildSize,child,Blizzard_SharedXML\SpaceToFitLayoutFrame.lua,21
23078,SpaceToFitVerticalLayoutMixin:GetChildSize,child,Blizzard_SharedXML\SpaceToFitLayoutFrame.lua,89
23083,SpaceToFitHorizontalLayoutMixin:GetChildSize,child,Blizzard_SharedXML\SpaceToFitLayoutFrame.lua,119
28042,MapLegendMixin:OnBackClicked,,Blizzard_UIPanels_Game\Mainline\MapLegendFrame.lua,93
28255,QuestInfo_ShowAccountCompletedNotice,,Blizzard_UIPanels_Game\Mainline\QuestInfo.lua,384
28316,QuestLogMixin:ShowMapLegend,,Blizzard_UIPanels_Game\Mainline\QuestMapFrame.lua,255
28317,QuestLogMixin:HideMapLegend,,Blizzard_UIPanels_Game\Mainline\QuestMapFrame.lua,262
28384,QuestMapFrame_PingQuestID,questID,Blizzard_UIPanels_Game\Mainline\QuestMapFrame.lua,1080
28499,AddRenownRewardsToTooltip,renownRewards,Blizzard_UIPanels_Game\Mainline\ReputationFrame.lua,385
28779,WorldMapPing_StartPingQuest,questID,Blizzard_UIPanels_Game\Mainline\WorldMapFrame.lua,186
28780,WorldMapPing_StartPingPOI,poiFrame,Blizzard_UIPanels_Game\Mainline\WorldMapFrame.lua,190
28781,WorldMapPing_StopPing,frame,Blizzard_UIPanels_Game\Mainline\WorldMapFrame.lua,194
28782,WorldMapPing_UpdatePing,"frame, contextData",Blizzard_UIPanels_Game\Mainline\WorldMapFrame.lua,198
29036,GetBindingFromClick,input,Blizzard_UIParent\Mainline\UIParent.lua,3033
29406,IsJailersTowerTextureKit,textureKit,Blizzard_UIWidgets\Mainline\Blizzard_UIWidgetTemplateStatusBar.lua,43
29407,IsPlunderstormStormBarTextureKit,textureKit,Blizzard_UIWidgets\Mainline\Blizzard_UIWidgetTemplateStatusBar.lua,47
29630,PartyBuffFrameMixin:Setup,"unit, index",Blizzard_UnitFrame\PartyMemberFrame.lua,796
29631,PartyBuffFrameMixin:OnUpdate,,Blizzard_UnitFrame\PartyMemberFrame.lua,801
29632,PartyBuffFrameMixin:OnEnter,,Blizzard_UnitFrame\PartyMemberFrame.lua,807
29633,PartyBuffFrameMixin:OnLeave,,Blizzard_UnitFrame\PartyMemberFrame.lua,812
29634,PartyDebuffFrameMixin:Setup,"unit, index",Blizzard_UnitFrame\PartyMemberFrame.lua,817
29635,PartyDebuffFrameMixin:OnUpdate,,Blizzard_UnitFrame\PartyMemberFrame.lua,822
29636,PartyDebuffFrameMixin:OnEnter,,Blizzard_UnitFrame\PartyMemberFrame.lua,832
29637,PartyDebuffFrameMixin:OnLeave,,Blizzard_UnitFrame\PartyMemberFrame.lua,841
30145,UnitPopupTeamPromoteButtonMixin:GetText,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,3
30146,UnitPopupTeamPromoteButtonMixin:GetInteractDistance,,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,7
30147,UnitPopupTeamPromoteButtonMixin:CanShow,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,11
30148,UnitPopupTeamPromoteButtonMixin:OnClick,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,23
30149,UnitPopupTeamKickButtonMixin:GetText,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,36
30150,UnitPopupTeamKickButtonMixin:GetInteractDistance,,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,40
30151,UnitPopupTeamKickButtonMixin:CanShow,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,44
30152,UnitPopupTeamKickButtonMixin:OnClick,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,56
30153,UnitPopupTeamLeaveButtonMixin:GetText,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,69
30154,UnitPopupTeamLeaveButtonMixin:GetInteractDistance,,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,73
30155,UnitPopupTeamLeaveButtonMixin:CanShow,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,77
30156,UnitPopupTeamLeaveButtonMixin:OnClick,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,85
30157,UnitPopupTeamDisbandButtonMixin:GetText,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,96
30158,UnitPopupTeamDisbandButtonMixin:GetInteractDistance,,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,100
30159,UnitPopupTeamDisbandButtonMixin:CanShow,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,104
30160,UnitPopupTeamDisbandButtonMixin:OnClick,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,118
30161,UnitPopupLootThresholdButtonMixin:GetColor,,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,127
30165,UnitPopupRaidDifficultyButtonMixin:CanShow,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,150
30172,UnitPopupRaidDifficulty4ButtonMixin:GetText,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,185
30173,UnitPopupRaidDifficulty4ButtonMixin:GetDifficultyID,,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,189
30175,UnitPopupDungeonDifficultyButtonMixin:CanShow,contextData,Blizzard_UnitPopup\Cataclysm\UnitPopupButtons.lua,240
30999,WorldMapMixin:PingQuestID,questID,Blizzard_WorldMap\Blizzard_WorldMap.lua,529
31038,WorldMapShowLegendButtonMixin:OnLoad,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,415
31039,WorldMapShowLegendButtonMixin:OnShow,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,420
31040,WorldMapShowLegendButtonMixin:OnHide,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,428
31041,WorldMapShowLegendButtonMixin:OnMouseDown,button,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,434
31042,WorldMapShowLegendButtonMixin:OnMouseUp,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,441
31043,WorldMapShowLegendButtonMixin:OnClick,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,446
31044,WorldMapShowLegendButtonMixin:OnEnter,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,464
31045,WorldMapShowLegendButtonMixin:Refresh,,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,470
31046,WorldMapShowLegendButtonMixin:SetActive,isActive,Blizzard_WorldMap\Blizzard_WorldMapTemplates.lua,476
